"msgid","msgstr"
The request represents a request/demand and authorization for action by the requestor.,يمثل الطلب طلبًا/مطالبة وتفويضًا للإجراء من قِبل مقدم الطلب.
Order,أمر
Identifies the level of importance to be assigned to actioning the request.,تحدد مستوى الأهمية الذي يُعيّن لتنفيذ الطلب.
Codes indicating the degree of authority/intentionality associated with a request.,رموز تشير إلى درجة الصلاحية/القصديّة المرتبطة بالطلب.
Diagnostic,تشخيصي
Intervention,تدخّل
Preventive,وقائي
Intermediate,متوسط
Resistant,مقاوم
Susceptible,حساس
Moderate Sensitivity,حساسية متوسطة
High Sensitivity,حساسية عالية
Low Sensitivity,حساسية منخفضة
All Customer Groups,كل مجموعات العملاء
All Item Groups,كل مجموعات الأصناف
Medication Item wise Sales,مبيعات حسب صنف الدواء
Laboratory User,مستخدم المختبر
LabTest Approver,معتمد الاختبار المخبري
Planned vs Actual Therapy Session,جلسات العلاج المخطط لها مقابل الفعلية
Physician,طبيب
Nursing User,مستخدم التمريض
Healthcare Administrator,مسؤول الرعاية الصحية
System Manager,مدير النظام
{} Draft,{} مسودة
{} Pending,{} قيد الانتظار
Total Sessions to Bill,إجمالي الجلسات للفوترة
Planned Sessions,جلسات مخطط لها
Pending Therapy Plans,خطط علاج معلّقة
Pending Sessions,جلسات معلّقة
Plan & Assessment,الخطة والتقييم
Reports & Pages,التقارير والصفحات
Medication Entry,إدخال دواء
Medication Order,أمر دواء
{} Admitted,{} منوّم
Total IP Records,إجمالي السجلات
In-Process IP Orders,أوامر قيد المعالجة
Pending IP Medications,أدوية المنوّمين المعلّقة
Admitted Patients,المرضى
Admission Status,حالة الدخول
Encounter,زيارة
Appointments To Bill,مواعيد للفوترة
Patient Appointments,مواعيد المرضى
Payment Entry,قيد الدفع
Billing & Payments,الفوترة والمدفوعات
Reports and Pages,التقارير والصفحات
{} Vacant,{} شاغر
{} Active,{} نشط
{} Open,{} مفتوح
Appointments to Bill,مواعيد للفوترة
Open Appointments,مواعيد مفتوحة
Total Patients Admitted,إجمالي المرضى
Total Patients,إجمالي المرضى
Department wise Patient Appointments,مواعيد المرضى حسب القسم
Outpatient,العيادات الخارجية
Laboratory Setup,إعدادات المختبر
Consultation Setup,إعداد الاستشارات
Terminology Mapping,ربط المصطلحات
Nursing,التمريض
Diagnostic Module,وحدة التشخيص
Diagnosis Trends,اتجاهات التشخيص
Lab Test Report,تقرير الاختبار المخبري
Patient Appointment Analytics,تحليلات مواعيد المرضى
Reports,التقارير
Patient Progress,تقدم المريض
Records and History,السجلات والتاريخ
Settings,الإعدادات
Overview,نظرة عامة
Healthcare,الرعاية الصحية
Diagnostics Setup,إعدادات التشخيص
Rehabilitation and Physiotherapy,إعادة التأهيل والعلاج الطبيعي
Outpatient Setup,إعدادات العيادات الخارجية
Facility,المنشأة
Insurance Setup,إعدادات التأمين
Service Definitions,تعريفات الخدمة
Terminology (Medical Codes),المصطلحات (الرموز الطبية)
Setup,الإعداد
Patient History,تاريخ المريض
Draft Observations,ملاحظات مسودة
Pending Sample Collection,جمع عينات معلّق
Active Service Requests,طلبات خدمة نشطة
Open Diagnostic Reports,تقارير تشخيصية مفتوحة
Observations,الملاحظات
Laboratory (Legacy),المختبر (قديم)
Eligibility Plan,خطة الأهلية
Outstanding Claims,مطالبات مستحقة
Paid Claims,مطالبات مدفوعة
Paid Claims Value,قيمة المطالبات المدفوعة
Outstanding Claims Value,قيمة المطالبات المستحقة
Insurance Claim Status,حالة مطالبة التأمين
Payor Contract,عقد جهة الدفع
Masters,البيانات الرئيسية
Patient and Policy Details,تفاصيل المريض والوثيقة
Payment Account,حساب الدفع
Due Date,تاريخ الاستحقاق
Party (Customer),الطرف (العميل)
Total Insurance Claim Amount,إجمالي مبلغ مطالبة التأمين
Fetch Patient Coverages,جلب تغطيات المريض
Posting Date Based on,تاريخ القيد بناءً على
Claims,المطالبات
Insurance Claim,مطالبة التأمين
Fee Validity Reference,مرجع صلاحية الرسوم
Terms and Conditions Details,تفاصيل الشروط والأحكام
Terms,الشروط
Admission Encounter,زيارة الدخول
Encounter Status,حالة الزيارة
Inpatient Details,تفاصيل المنوّمين
Outstanding Amount,المبلغ المستحق
Treatment Plan Template Items,أصناف قالب خطة العلاج
Treatment Counselling,استشارة العلاج
Consultations,الاستشارات
Free Followup Details,تفاصيل المتابعة المجانية
Supplier,مورد
External,خارجي
Internal,داخلي
Practitioner Type,نوع الممارس
Primary Address,العنوان الرئيسي
"""Reselect, if the chosen address is edited after save""",أعد الاختيار إذا تم تعديل العنوان المختار بعد الحفظ
Practitioner Primary Address,العنوان الرئيسي للممارس
Email Id,معرّف البريد الإلكتروني
Mobile No,رقم الجوال
"""Reselect, if the chosen contact is edited after save""",أعد الاختيار إذا تم تعديل جهة الاتصال المختارة بعد الحفظ
Practitioner Primary Contact,جهة الاتصال الرئيسية للممارس
"""Select, to make the practitioner searchable with these fields""",اختر لجعل الممارس قابلاً للبحث بهذه الحقول
Primary Address and Contact,العنوان الرئيسي والاتصال
Google Calendar,تقويم Google
Basic Details,تفاصيل أساسية
Employee and User Details,تفاصيل الموظف والمستخدم
Default Currency,العملة الافتراضية
Account Details,تفاصيل الحساب
Charges,الرسوم
Practitioner Schedules,جداول الممارس
Phone (Office),الهاتف (مكتب)
Phone (R),الهاتف (منزل)
Hospital,المستشفى
Designation,المسمى الوظيفي
Employee,الموظف
Middle Name (Optional),الاسم الأوسط (اختياري)
Patient Encounter Symptom,عرض زيارة المريض
Test,اختبار
Normal Test Template,قالب اختبار طبيعي
Therapy Plan Template Detail,تفاصيل قالب خطة العلاج
Stock Entry,قيد المخزون
Inpatient Record Item,صنف سجل المنوّمين
Maximum Appointments,الحد الأقصى للمواعيد
Healthcare Schedule Time Slot,فترة زمنية لجدول الرعاية الصحية
Patient Gender,جنس المريض
Specimen Type,نوع العينة
Received Time,وقت الاستلام
Entered In Error,أُدخل بالخطأ
Unsatisfactory,غير مرضٍ
Prescription Dosage,جرعة الوصفة
Schedule,الجدول
Practitioner Service Unit Schedule,جدول وحدة خدمة الممارس
Treatment Counselling Required for IP,استشارة العلاج مطلوبة
Is Inpatient,منوّم
Plan,الخطة
"""Investigations, Therapy & Procedures""",التحاليل والعلاج والإجراءات
Patient Age To,عمر المريض إلى
Patient Age From,عمر المريض من
Plan Conditions,شروط الخطة
Practitioners,الممارسون
Goal,الهدف
Treatment Plan Template,قالب خطة العلاج
Organism Test Item,صنف اختبار الكائن
Code Description,وصف الرمز
Insurance Claim Details,تفاصيل مطالبة التأمين
Billing Summary,ملخص الفوترة
Total Coverage Amount Invoiced,إجمالي مبلغ التغطية المفوتر
Total Qty Invoiced,إجمالي الكمية المفوترة
Service Template,قالب الخدمة
Service Template Type,نوع قالب الخدمة
Patient Payable,مستحق على المريض
Claim Mode of Approval,طريقة اعتماد المطالبة
Insurance Eligibility Plan,خطة أهلية التأمين
Expiry Date of Patient's Insurance Policy (via Patient Insurance Policy) or Validity End Date of Coverage (via Item Insurance Eligibility),<b>تاريخ انتهاء وثيقة تأمين المريض</b> (عبر وثيقة تأمين المريض) أو <b>تاريخ نهاية صلاحية التغطية</b> (عبر أهلية تأمين الصنف)
Claim Validity End Date,تاريخ نهاية صلاحية المطالبة
Price List Rate,سعر قائمة الأسعار
Insurance Policy Details,تفاصيل وثيقة التأمين
Patient Insurance Coverage,تغطية تأمين المريض
"""Only applicable to status codes, all status codes are mapped to one of the codes defined as part of Resource Status (The master set of status codes used throughout FHIR)""",ينطبق فقط على رموز الحالة، حيث تُربط جميع رموز الحالة بأحد الرموز المحددة ضمن حالة المورد (المجموعة الرئيسية لرموز الحالة المستخدمة في FHIR)
Canonical Mapping,الربط القياسي
Level,المستوى
Official URL,الرابط الرسمي
Active Assist,مساعدة نشطة
Passive,سلبي
Assistance Level,مستوى المساعدة
Counts Completed,العدد المكتمل
Counts Target,العدد المستهدف
Exercise,تمرين
Qty,الكمية
Treatment Plan Template Item,صنف قالب خطة العلاج
Registration Item,صنف التسجيل
Payments app is not installed,تطبيق المدفوعات غير مثبت
Payment Gateway,بوابة الدفع
Payment Settings,إعدادات الدفع
"""If enabled, diagnostic details tab will show on patient portal""",عند التفعيل، سيظهر تبويب تفاصيل التشخيص في بوابة المريض
Show Diagnostics Tab on Portal,إظهار تبويب التشخيصات في البوابة
Default Appointment Type,نوع الموعد الافتراضي
To enable this feature need Payments App,لتفعيل هذه الميزة يلزم تطبيق المدفوعات
Collect Payment on Portal,تحصيل الدفع عبر البوابة
Patient Portal,بوابة المريض
Naming Series for Insurance Coverage Journal Entry,سلسلة التسمية لقيد يومية تغطية التأمين
Allow Discharge Despite Pending Healthcare Services,السماح بالخروج رغم وجود خدمات رعاية معلّقة
Nightly generate billable from Inpatient Occupancy,إنشاء بنود قابلة للفوترة ليلاً من إشغال للمنوّمين
Automatically Generate Billable,إنشاء بنود قابلة للفوترة تلقائيًا
Default Priority,الأولوية الافتراضية
Default Intent,النية الافتراضية
Default Code System,نظام الترميز الافتراضي
Create Observation(s) on Sales Invoice Submission,إنشاء ملاحظة/ملاحظات عند تقديم فاتورة المبيعات
Process Service Request If Billing Status Is Paid,معالجة طلب الخدمة إذا كانت حالة الفوترة مدفوع
For use while scheduling tele-consultations via Google Meet,للاستخدام عند جدولة الاستشارات عن بُعد عبر Google Meet
Default Google Calendar,تقويم Google الافتراضي
Alerts,التنبيهات
Billing & Accounts,الفوترة والحسابات
OP & IP,خارجي وداخلي
Validates all mandatory tasks in nursing checklist to be Completed before a Patient transactional event.,يتحقق من إكمال جميع المهام الإلزامية في قائمة التمريض قبل أي حدث معاملي للمريض.
Validate Nursing Checklists,التحقق من قوائم التمريض
Do Not Bill Patient Encounters for Inpatients,عدم فوترة زيارات المريض  للمنوّمين
Allow Discharge Despite Unbilled Healthcare Services,السماح بالخروج رغم خدمات رعاية غير مفوترة
Inpatient Settings,إعدادات التنويم
Enable Free Follow-ups,تمكين المتابعات المجانية
The number of free follow ups (Patient Encounters in valid days) allowed,عدد المتابعات المجانية المسموح بها (زيارات المريض خلال الأيام الصالحة)
Number of Patient Encounters in Valid Days,عدد زيارات المريض خلال الأيام الصالحة
Remind Before,التذكير قبل
Reminder Message,رسالة التذكير
Appointment Reminder,تذكير الموعد
Do not confirm if appointment is created for the same day,لا تؤكد إذا تم إنشاء الموعد لليوم نفسه
Avoid Confirmation,تجنب التأكيد
Confirmation Message,رسالة التأكيد
Appointment Confirmation,تأكيد الموعد
Registration Message,رسالة التسجيل
Patient Registration,تسجيل المريض
Checking this option will prompt for Appointment invoicing and payment,تحديد هذا الخيار سيعرض مطالبة بفوترة الموعد والدفع
Show Payment Prompt in Appointment,إظهار نافذة الدفع في الموعد
Auto Name,تسمية تلقائية
Patient Name By,تسمية المريض بواسطة
Checking this will create a Sample Collection document  every time you create a Lab Test,تحديد هذا سيؤدي إلى إنشاء مستند جمع عينات في كل مرة تنشئ فيها اختبارًا مخبريًا
Create Sample Collection document for Lab Test,إنشاء مستند جمع عينات للاختبار المخبري
Checking this will create Lab Test(s) specified in the Sales Invoice on submission.,تحديد هذا سيؤدي إلى إنشاء الاختبارات المخبرية المحددة في فاتورة المبيعات عند التقديم.
Create Lab Test(s) on Sales Invoice Submission,إنشاء اختبار/اختبارات مخبرية عند تقديم فاتورة المبيعات
"Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.""",سيتم إنشاء فواتير المريض على هذا العميل. يمكنك أيضًا اختيار عميل موجود عند إنشاء المريض.
"""If checked, a customer will be created, mapped to Patient.",إذا تم تحديده، سيتم إنشاء عميل وربطه بالمريض.
Link Customer to Patient,ربط العميل بالمريض
Checking this will restrict printing and emailing of Lab Test documents unless they have the status as Approved.,تحديد هذا سيقيّد طباعة وإرسال مستندات الاختبار المخبري ما لم تكن حالتها معتمد.
Do not print or email Lab Tests without Approval,لا تطبع أو ترسل اختبارات المختبر بالبريد دون اعتماد
Result Emailed Message,رسالة إرسال النتيجة بالبريد
Result Printed Message,رسالة طباعة النتيجة
Laboratory SMS Alerts,تنبيهات SMS للمختبر
Custom Signature in Print,توقيع مخصص في الطباعة
Check this if you want the Name and Designation of the Employee associated with the User who submits the document to be printed in the Lab Test Report.,حدد هذا إذا كنت تريد طباعة اسم ومسمى الموظف المرتبط بالمستخدم الذي يقدّم المستند في تقرير الاختبار المخبري.
Employee name and designation in print,اسم الموظف ومسمّاه الوظيفي في الطباعة
Laboratory Settings,إعدادات المختبر
Default receivable accounts to be used to book Appointment charges.,حسابات المدينين الافتراضية المستخدمة لحجز رسوم الموعد.
Receivable Account,حساب المدينين
Default income accounts to be used if not set in Healthcare Practitioner to book Appointment charges.,حسابات الإيرادات الافتراضية المستخدمة إذا لم تُحدَّد في ممارس الرعاية الصحية لحجز رسوم الموعد.
Income Account,حساب الإيرادات
Default Accounts,الحسابات الافتراضية
Out Patient SMS Alerts,تنبيهات SMS للعيادات الخارجية
Clinical Procedure Consumable Item,صنف مستهلك للإجراء السريري
"""You can configure default Items for billing consultation charges, procedure consumption items and inpatient visits""",يمكنك إعداد أصناف افتراضية لفوترة رسوم الاستشارات وأصناف استهلاك الإجراءات وزيارات المنوّمين
Default Healthcare Service Items,أصناف خدمات الرعاية الصحية الافتراضية
Time period (Valid number of days) for free consultations,الفترة الزمنية (عدد الأيام الصالح) للاستشارات المجانية
Valid Number of Days,عدد الأيام الصالح
Registration Fee,رسوم التسجيل
Checking this will create new Patients with a Disabled status by default and will only be enabled after invoicing the Registration Fee.,سيؤدي تحديد هذا إلى إنشاء مرضى جدد بحالة معطّل افتراضيًا ولن يتم تمكينهم إلا بعد فوترة رسوم التسجيل.
Collect Fee for Patient Registration,تحصيل رسوم تسجيل المريض
Outpatient Settings,إعدادات العيادات الخارجية
Healthcare Settings,إعدادات الرعاية الصحية
Result Component,مكوّن النتيجة
Descriptive Test Template,قالب اختبار وصفي
Body Parts,أجزاء الجسم
Exercise Steps,خطوات التمرين
Steps Table,جدول الخطوات
Steps,خطوات
Exercise Video,فيديو التمرين
Exercise Instructions,تعليمات التمرين
Exercise Name,اسم التمرين
Exercise Type,نوع التمرين
Default Code System to be used when creating Insurance Claim,نظام الترميز الافتراضي لاستخدامه عند إنشاء مطالبة تأمين
Insurance Claim Credit Days,أيام ائتمان مطالبة التأمين
Rejected Claims Expense Account,حساب مصروف مطالبات مرفوضة
Claims Receivable Account,حساب مطالبات المدينة
Accounts,الحسابات
Website,الموقع الإلكتروني
Address and Contacts,العنوان وجهات الاتصال
Linked Party (Customer),الطرف المرتبط (عميل)
Insurance Payor Name,اسم جهة الدفع التأمينية
Medication Ingredient,مكوّن الدواء
Procedure Created,تم إنشاء الإجراء
Appointment Booked,تم حجز الموعد
Procedure Name,اسم الإجراء
Portal Image,صورة البوابة
Show in Portal,إظهار في البوابة
Imaging Toggle,تبديل التصوير
Descriptive Toggle,تبديل الوصفي
Requesting Practitioner Name,اسم الممارس الطالب
Requesting Department,القسم الطالب
Prescription,وصفة
Sensitivity Toggle,تبديل الحساسية
Normal Toggle,تبديل الطبيعي
Printed,تمت الطباعة
SMS Sent,تم إرسال رسالة SMS
Email Sent,تم إرسال البريد الإلكتروني
Custom Result,نتيجة مخصصة
Sensitivity Test Result,نتيجة اختبار الحساسية
Compound Test Result,نتيجة اختبار مركب
Test Group,مجموعة الاختبار
Test Template,قالب الاختبار
Lab Technician Designation,مسمى فني المختبر
Lab Technician Name,اسم فني المختبر
Employee (Lab Technician),الموظف (فني مختبر)
Printed on,تمت الطباعة في
Result Date,تاريخ النتيجة
Expected Result Time,وقت النتيجة المتوقع
Expected Result Date,تاريخ النتيجة المتوقع
Sample ID,معرّف العينة
Approved Date,تاريخ الاعتماد
Submitted Date,تاريخ التقديم
Requesting Practitioner,الممارس الطالب
Patient Insurance Coverage Details,تفاصيل تغطية تأمين المريض
Invoice Discount Amount,مبلغ خصم الفاتورة
Invoice Discount %,نسبة خصم الفاتورة
Claim Amount,مبلغ المطالبة
Claim Coverage %,نسبة تغطية المطالبة
Claim Details,تفاصيل المطالبة
Allocated Amount (via Journal Entry),المبلغ المخصص (عبر قيد اليومية)
Journal Entry,قيد يومية
Error / Reject Reason,سبب الخطأ / الرفض
Rejected Amount,المبلغ المرفوض
Payment Details,تفاصيل الدفع
Error,خطأ
Approved Amount,المبلغ المعتمد
Sales Invoice Item Amount,مبلغ صنف فاتورة المبيعات
Sales Invoice Posting Date,تاريخ قيد فاتورة المبيعات
Insurance Coverage Posting Date,تاريخ قيد تغطية التأمين
Code Value Description,وصف قيمة الرمز
Coverage %,نسبة التغطية
Discount Amount,مبلغ الخصم
Service Type,نوع الخدمة
Coverage Amount,مبلغ التغطية
Discount %,نسبة الخصم
Insurance Claim Coverage,تغطية مطالبة التأمين
Colony UOM,وحدة قياس المستعمرة
Colony Population,تعداد المستعمرات
Organism Test Result,نتيجة اختبار الكائن
BMI,مؤشر كتلة الجسم
Weight (In Kilogram),الوزن (بالكيلوغرام)
Height (In Meter),الطول (بالمتر)
Nutrition Values,القيم الغذائية
"""Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated """"120/80 mmHg""""""","ضغط الدم الطبيعي في حالة الراحة لدى البالغ حوالي 120 مم زئبق انقباضي و80 مم زئبق انبساطي، ويُختصر ""120/80 مم زئبق"""
Blood Pressure,ضغط الدم
Blood Pressure (diastolic),ضغط الدم (انبساطي)
Blood Pressure (systolic),ضغط الدم (انقباضي)
One Sided,من جانب واحد
Very Hyper,مفرطة جدًا
Hyper,مفرطة
Reflexes,المنعكسات
Constipated,مصاب بإمساك
Fluid,سائل
Full,ممتلئ
Bloated,منتفخ
Abdomen,البطن
Cuts,شقوق
Furry,مُشعِر
Very Coated,مغطى جدًا
Coated,مغطى بطبقة
Tongue,اللسان
Normal reference range for an adult is 16–20 breaths/minute (RCP 2012),النطاق المرجعي الطبيعي للبالغين هو 16–20 نفسًا/دقيقة (RCP 2012)
Respiratory rate,معدل التنفس
Adults' pulse rate is anywhere between 50 and 80 beats per minute.,معدل نبض البالغين يتراوح بين 50 و80 نبضة في الدقيقة.
Heart Rate / Pulse,معدل ضربات القلب / النبض
Presence of a fever (temp > 38 °C /100.4 °F),وجود الحمى ( درجة الحرارة أكبر من 38 )
Body Temperature,درجة حرارة الجسم
Antibiotic Name,اسم المضاد الحيوي
Antibiotic,مضاد حيوي
Patient Assessment Parameter,معيار تقييم المريض
Therapy Plans,خطط العلاج
Item Description,وصف الصنف
Linked Item Details,تفاصيل الصنف المرتبط
Therapy Types,أنواع العلاج
Plan Name,اسم الخطة
Scale Maximum,الحد الأقصى للمقياس
Scale Minimum,الحد الأدنى للمقياس
Assessment Scale,مقياس التقييم
Assessment Parameters,معايير التقييم
Assessment Name,اسم التقييم
Parameters,المعايير
Patient Assessment Template,قالب تقييم المريض
Assessments,التقييمات
Total Counts Completed,إجمالي العدّات المكتملة
Total Counts Targeted,إجمالي العدّات المستهدفة
Tele,عن بُعد
Home,منزل
Center,مركز
Location,الموقع
Details,التفاصيل
Available Qty,الكمية المتاحة
Against Inpatient Medication Order Entry,مقابل إدخال أمر دواء لمنوّم
Against Inpatient Medication Order,مقابل أمر دواء لمنوّم
Medication Details,تفاصيل الدواء
Inpatient Medication Entry Detail,تفاصيل إدخال دواء لمنوّم
Method Value,قيمة الطريقة
Link Existing Item,ربط صنف موجود
These options will be available for selection in Observation. No need to add a blank space before the first option,ستكون هذه الخيارات متاحة للاختيار في الملاحظة. لا حاجة لإضافة مسافة قبل الخيار الأول
Result Options,خيارات النتيجة
Reference Ranges,النطاقات المرجعية
Components,المكونات
Medical Value,القيمة الطبية
Records,السجلات
Appointment End Datetime,تاريخ ووقت انتهاء الموعد
Get Orders,جلب الأوامر
Template DocName,اسم مستند القالب
Template DocType,نوع مستند القالب
Appointment Notes,ملاحظات الموعد
Appointment For,الموعد لـ
"""Position In Queue after """"Check In""""""","الموقع في الطابور بعد ""تسجيل الدخول"""
Position In Queue,الموقع في الطابور
"""Fetched from Practitioner Schedule if """"Create Slots"""" is disabled""","يتم جلبه من جدول الممارس إذا تم تعطيل ""إنشاء الفترات"""
Appointment Based On Check In,الموعد يعتمد على تسجيل الدخول
Add Video Conferencing,إضافة مؤتمرات الفيديو
Billing Item,صنف الفوترة
Reference Sales Invoice,مرجع فاتورة المبيعات
Get Prescribed Therapies,جلب العلاجات الموصوفة
Reminded,تم التذكير
More Info,مزيد من المعلومات
Mode of Payment,طريقة الدفع
Appointment Datetime,تاريخ ووقت الموعد
Payments,المدفوعات
Appointment Details,تفاصيل الموعد
Get Prescribed Clinical Procedures,جلب الإجراءات السريرية الموصوفة
No Show,لم يحضر
Closed,مغلق
Checked Out,تم تسجيل الخروج
Checked In,تم تسجيل الدخول
Confirmed,مؤكد
Scheduled,مجدول
Duration (In Minutes),المدة (بالدقائق)
Manufacturer,الشركة المصنعة
Brand,العلامة التجارية
Medication Linked Item,صنف مرتبط للدواء
Allow Video Conferencing,السماح بمؤتمرات الفيديو
Schedule Details,تفاصيل الجدول
Time Slots,الفترات الزمنية
Schedule Name,اسم الجدول
Practitioner Schedule,جدول الممارس
Definition,التعريف
Code,الرمز
System,النظام
Therapy Sessions,جلسات العلاج
Therapy Plan Template,قالب خطة العلاج
Not Started,لم يبدأ
Total Sessions Completed,إجمالي الجلسات المكتملة
Total Sessions,إجمالي الجلسات
Therapy Plan Details,تفاصيل خطة العلاج
Other,أخرى
Family,العائلة
Siblings,الإخوة
Spouse,الزوج/الزوجة
Mother,الأم
Father,الأب
Relation,صلة القرابة
Value,القيمة
Particulars,البيانات
Descriptive Test Result,نتيجة اختبار وصفي
Patient Encounter Diagnosis,تشخيص زيارة المريض
Actual Qty (at source/target),الكمية الفعلية (في المصدر/الهدف)
Transfer Qty,كمية التحويل
Stock UOM,وحدة قياس المخزون
Batch,دفعة
Invoice Separately as Consumables,فوترة منفصلة كمستهلكات
Barcode,باركود
Clinical Procedure Item,صنف الإجراء السريري
Reference Child,الفرع المرجعي
Collected User,المستخدم الذي جمع
Component Observations,ملاحظات المكونات
Component Observation Parent,الأصل لملاحظة المكوّن
Show Components,إظهار المكونات
References,مراجع
Collection Date Time,تاريخ ووقت الجمع
Fixed,ثابت
Based on Consumption,بناءً على الاستهلاك
Billing Type,نوع الفوترة
Is Stock Item,صنف مخزون
Charge,رسوم
Service Unit Type Item,صنف نوع وحدة الخدمة
Activity Duration,مدة النشاط
Task DocType,نوع مستند المهمة
Healthcare Activity,نشاط الرعاية الصحية
Container Closure Color,لون إغلاق الحاوية
Lab Test Sample,عينة الاختبار المخبري
Require Result Value,يتطلب قيمة نتيجة
Underline,تسطير
Italic,مائل
Bold,عريض
Secondary UOM Result,نتيجة وحدة قياس ثانوية
Template,قالب
Result Value,قيمة النتيجة
Normal Test Result,نتيجة الاختبار الطبيعية
Tests,الاختبارات
Worksheet & Legend,ورقة العمل والشرح
Descriptive Result,نتيجة وصفية
Worksheet Print,طباعة ورقة العمل
Instructions to be printed on the worksheet,تعليمات للطباعة على ورقة العمل
Worksheet Instructions,تعليمات ورقة العمل
Both,كلاهما
Top,أعلى
Bottom,أسفل
Print Position,موضع الطباعة
Result Legend,شرح النتائج
"""Information to help easily interpret the test report, will be printed as part of the Lab Test result.""",معلومات للمساعدة على تفسير تقرير الاختبار بسهولة، ستتم طباعتها كجزء من نتيجة الاختبار المخبري.
Result Legend Print,طباعة شرح النتائج
Group Tests,اختبارات مجمعة
Sensitivity,الحساسية
Descriptive Test,اختبار وصفي
Lab Routine,روتين المختبر
This value is updated in the Default Sales Price List.,يتم تحديث هذه القيمة في قائمة أسعار المبيعات الافتراضية.
"""If unchecked, the item will not be available in Sales Invoices for billing but can be used in group test creation.""",إذا لم يتم تحديده، فلن يكون الصنف متاحًا في فواتير المبيعات للفوترة لكنه يمكن استخدامه لإنشاء اختبارات مجمعة.
No Result,بدون نتيجة
Grouped,مجمع
Descriptive,وصفي
Compound,مركب
"No Result: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results""",<b>بدون نتيجة</b>: اختبارات بلا نتائج يمكن طلبها وفوترتها ولكن لن يتم إنشاء اختبار مخبري. مثال: اختبارات فرعية للنتائج المجمعة
Grouped: Test templates which are a group of other test templates.,<b>مجمع</b>: قوالب اختبارات تكون مجموعة من قوالب اختبارات أخرى.
Descriptive: Tests which have multiple result components with manual result entry.,<b>وصفي</b>: اختبارات تحتوي على عدة مكونات للنتيجة مع إدخال يدوي.
Compound: Results which require multiple event inputs.,<b>مركب</b>: نتائج تتطلب إدخالات متعددة للأحداث.
"""Single: Results which require only a single input.",<b>فردي</b>: نتائج تتطلب إدخالاً واحداً فقط.
Result Format,تنسيق النتيجة
Lab Test Template,قالب الاختبار المخبري
Assessment Parameter,معيار التقييم
Patient Assessment Detail,تفاصيل تقييم المريض
To,إلى
From,من
Reference Type,نوع المرجع
Long Interpretation,تفسير طويل
Short Interpretation,تفسير قصير
Conditions,شروط
Options,خيارات
Boolean Value,قيمة منطقية
Critical Long Interpretation,التفسير الحرج المطوّل
Abnormal Long Interpretation,التفسير غير الطبيعي المطوّل
Normal Long Interpretation,التفسير الطبيعي المطوّل
Critical Interpretation,التفسير الحرج
Abnormal Interpretation,التفسير غير الطبيعي
Normal Interpretation,التفسير الطبيعي
Critical Condition,الشرط الحرج
Abnormal Condition,الشرط غير الطبيعي
Normal Condition,الشرط الطبيعي
Critical Options,خيارات حرجة
Abnormal Options,خيارات غير طبيعية
Normal Options,خيارات طبيعية
To Duration,مدة إلى
From Duration,مدة من
Critical Ratio,النسبة الحرجة
Abnormal Ratio,النسبة غير الطبيعية
Normal Ratio,النسبة الطبيعية
Critical To,الحرج إلى
Critical From,الحرج من
Critical Value,القيمة الحرجة
Critical,حرج
Abnormal To,غير الطبيعي إلى
Abnormal From,غير الطبيعي من
Abnormal Value,القيمة غير الطبيعية
Abnormal,غير طبيعي
To Age Type,نوع العمر إلى
Months,أشهر
Years,سنوات
From Age Type,نوع العمر من
To Datetime,إلى تاريخ ووقت
From Datetime,من تاريخ ووقت
Normal To,الطبيعي إلى
Normal From,الطبيعي من
No,لا
Yes,نعم
Normal Value,القيمة الطبيعية
Normal,طبيعي
Age To,العمر إلى
Age From,العمر من
In Months,بالأشهر
Gestational Age,عمر الحمل
Reference Text,نص مرجعي
Pregnant,حامل
Female,أنثى
Male,ذكر
All,الكل
Applies To,ينطبق على
Observation Reference Range,النطاق المرجعي للملاحظة
Assessment Description,وصف التقييم
Scale Max,الحد الأقصى للمقياس
Scale Min,الحد الأدنى للمقياس
Total Score Obtained,إجمالي الدرجة المحصّلة
Total Score,إجمالي الدرجة
Assessment Sheet,نموذج التقييم
Assessment Datetime,تاريخ ووقت التقييم
Therapy Session,جلسة علاجية
Assessment Template,قالب التقييم
Patient Assessment,تقييم المريض
Consumption Invoiced,تمت فوترة الاستهلاك
Consumption Details,تفاصيل الاستهلاك
Consumable Total Amount,إجمالي مبلغ المستهلكات
Invoice Consumables Separately,فوترة المستهلكات بشكل منفصل
Consume Stock,استهلاك المخزون
Procedure Prescription,وصفة إجراء
Clinical Procedure,إجراء سريري
The time duration before or after the event on which the Nursing Task is to be performed. The Nursing Task start time will be set based on this.,الفترة الزمنية قبل أو بعد الحدث التي يجب تنفيذ مهمة التمريض خلالها. سيتم ضبط وقت بدء مهمة التمريض بناءً على ذلك.
Time Offset,إزاحة الوقت
Default duration which the task can take to complete,المدة الافتراضية التي يمكن أن تستغرقها المهمة لإكمالها
